segno	rtt	rto
0	69.7274	100
1	64.0226	209.182
2	65.3845	209.182
3	66.0745	179.31
4	67.703	179.31
5	72.4534	179.31
6	75.5966	179.31
7	63.4788	179.31
8	68.1236	179.31
9	69.5451	179.31
10	71.667	179.31
11	71.9348	155.605
12	73.9158	155.605
13	79.288	155.605
14	80.826	155.605
15	63.6703	155.605
16	66.9629	155.605
17	69.646	155.605
18	73.2651	155.605
19	71.1879	155.605
20	72.9122	155.605
21	73.4054	155.605
22	76.2869	155.605
23	82.4714	136.867
24	83.3102	136.867
25	85.6861	136.867
26	86.2438	136.867
27	89.0487	136.867
28	93.807	136.867
29	94.3939	136.867
30	102.66	136.867
31	71.2202	136.867
32	73.7061	136.867
33	77.7272	136.867
34	79.1151	136.867
35	87.7401	136.867
36	89.3103	136.867
37	89.668	136.867
38	91.3349	136.867
39	93.5908	136.867
40	95.1654	136.867
41	96.5583	136.867
42	99.957	136.867
43	99.0973	136.867
44	100.079	136.867
45	105.788	127.437
46	107.044	127.437
47	111.487	127.437
48	112.619	127.437
49	113.788	127.437
50	119.184	127.437
51	115.031	127.437
52	119.345	127.437
53	128.696	127.437
54	130.151	127.437
55	128.645	127.437
57	126.975	127.437
58	130.028	127.437
59	130.174	127.437
63	125.513	127.437
66	126.755	127.437
68	128.974	127.437
69	129.379	127.437
71	129.75	132.535
74	131.647	132.535
77	127.028	132.535
78	129.244	132.535
79	129.274	132.535
81	131.133	132.535
83	129.084	132.535
85	128.987	132.535
86	131.221	132.535
92	129.431	132.535
94	129.391	132.535
97	127.796	132.535
98	130.179	132.535
100	130.74	132.535
101	128.489	132.535
105	128.756	132.535
106	129.741	132.535
107	127.073	132.535
110	127.421	132.535
113	111.903	209.399
114	111.571	209.399
115	111.003	209.399
116	113.399	209.399
117	112.716	209.399
118	112.57	209.399
119	111.551	209.399
120	112.301	209.399
121	123.723	209.399
122	122.468	209.399
123	122.587	209.399
124	124.177	209.399
125	122.954	209.399
126	125.768	209.399
127	122.427	209.399
128	124.605	209.399
129	124.572	209.399
130	125.155	209.399
131	125.024	209.399
132	124.087	209.399
133	127.344	209.399
134	125.232	209.399
135	125.565	209.399
136	124.502	209.399
137	123.199	209.399
138	124.805	209.399
139	127.614	209.399
140	126.271	207.936
141	127.355	207.936
142	127.301	207.936
143	132.14	207.936
144	130.102	207.936
145	129.303	207.936
146	129.145	207.936
147	126.383	207.936
148	126.528	207.936
149	124.995	207.936
150	126.554	207.936
151	126.269	207.936
152	126.091	207.936
153	125.174	207.936
154	124.997	207.936
155	126.293	207.936
156	125.525	207.936
157	126.537	207.936
158	125.872	207.936
159	127.548	207.936
160	127.554	207.936
161	128.172	207.936
163	123.962	207.936
164	118.996	218.969
165	118.807	218.969
166	118.584	218.969
167	70.7753	437.938
168	69.4786	437.938
169	72.0255	437.938
170	69.8703	224.474
171	71.1847	224.474
172	71.6497	224.474
173	69.2457	224.474
174	72.0232	224.474
175	73.4642	224.474
176	72.7422	224.474
177	73.6552	224.474
178	72.2696	224.474
179	71.5868	224.474
180	72.2929	224.474
181	70.1034	224.474
182	74.6476	224.474
183	71.2693	224.474
184	72.217	224.474
185	69.9163	224.474
186	68.8385	224.474
187	69.2867	224.474
188	66.7611	224.474
189	68.7578	224.474
190	66.7396	224.474
191	66.9334	224.474
192	68.1548	224.474
193	69.6952	224.474
194	69.5058	224.474
195	72.343	224.474
196	72.3315	224.474
197	71.248	224.474
198	73.4684	224.474
199	65.5738	212.86
200	62.6624	212.86
201	63.4632	212.86
202	62.5551	212.86
203	62.0815	212.86
204	63.7601	212.86
205	63.7036	212.86
206	62.1605	212.86
207	64.7055	212.86
208	65.0305	212.86
209	69.1215	212.86
210	63.8873	208.859
211	66.4157	208.859
212	67.1453	208.859
213	65.5689	208.859
214	63.9903	208.859
215	66.2789	208.859
216	66.1771	208.859
217	66.237	208.859
218	64.1598	208.859
219	66.4365	208.859
220	67.1692	208.859
221	72.323	208.859
222	63.8741	208.859
223	64.2535	208.859
224	65.1922	208.859
225	64.8995	208.859
226	65.8903	208.859
227	63.8656	208.859
228	64.0642	208.859
229	64.8205	208.859
230	63.5299	208.859
231	65.569	201
232	67.7409	201
233	66.259	201
234	68.7231	201
235	65.1383	201
236	66.81	201
237	63.8638	201
238	65.3184	201
239	63.6436	201
240	66.548	201
241	66.0251	201
242	68.2563	201
243	66.2015	201
244	72.5434	201
245	71.6099	201
246	69.6072	201
247	73.4231	201
248	75.7485	201
249	72.6841	201
250	69.9191	191.311
251	70.9702	191.311
252	72.8725	191.311
253	74.1882	191.311
254	70.7114	191.311
255	70.9209	191.311
256	70.0226	191.311
257	70.3971	191.311
258	67.6576	191.311
259	69.0268	191.311
260	68.2309	191.311
261	68.9788	191.311
262	71.7278	191.311
263	71.8227	191.311
264	71.9046	191.311
265	70.9601	191.311
266	71.8792	191.311
267	74.1469	191.311
268	72.4183	191.311
269	72.3945	191.311
270	71.9357	191.311
271	70.9945	178.251
272	77.2027	178.251
273	71.3169	178.251
274	71.5943	178.251
275	72.7016	178.251
276	73.1984	178.251
277	69.1446	178.251
278	71.2407	178.251
279	73.7877	178.251
280	73.6817	178.251
281	76.0355	178.251
282	74.6022	178.251
283	71.2857	178.251
284	73.3685	178.251
285	74.2821	178.251
286	73.0826	178.251
287	74.2658	178.251
288	75.1367	178.251
289	77.9106	165.166
290	77.5564	165.166
291	77.5317	165.166
292	75.5448	165.166
293	77.7607	165.166
294	77.073	165.166
295	77.225	165.166
296	79.8354	165.166
297	78.7596	165.166
298	77.8675	165.166
299	78.9473	165.166
300	79.1529	165.166
301	79.3228	165.166
302	78.6313	165.166
303	79.2127	165.166
304	79.1746	165.166
