segno	rtt	rto
320	119.508	169.84
321	117.557	169.84
322	118.352	169.84
323	119.344	169.84
324	119.309	169.84
325	119.227	169.84
326	119.294	169.84
327	120.763	169.84
328	119.335	169.84
329	119.778	169.84
330	119.807	169.84
331	123.379	169.84
332	120.966	169.84
333	118.732	169.84
334	121.73	169.84
335	119.833	169.84
336	125.619	169.84
337	123.876	169.84
338	123.199	169.84
339	121.142	169.84
340	120.763	169.84
341	125.266	170.129
342	124.751	170.129
343	123.837	170.129
344	123.399	170.129
345	123.861	170.129
346	121.937	170.129
347	123.251	170.129
348	123.23	170.129
349	123.294	170.129
350	122.647	170.129
351	122.467	170.129
352	124.768	170.129
353	125.651	170.129
354	125.745	170.129
355	125.88	170.129
356	123.467	170.129
357	125.826	170.129
358	124.975	170.129
359	123.937	170.129
360	125.774	170.129
361	123.885	170.129
362	126.388	170.129
363	121.569	170.129
364	123.073	170.129
365	124.792	170.129
366	124.932	170.129
367	127.534	170.129
368	120.278	170.129
369	123.035	170.129
370	124.993	170.129
371	127.638	170.129
372	127.045	170.129
373	124.586	173.208
374	123.695	173.208
375	124.836	173.208
376	126.588	173.208
377	125.886	173.208
378	125.107	173.208
379	125.8	173.208
380	126.081	173.208
381	126.936	173.208
382	126.062	173.208
383	124.633	173.208
384	126.381	173.208
385	126.68	173.208
386	125.781	173.208
387	126.209	173.208
388	126.652	173.208
389	126.383	173.208
390	126.104	173.208
391	128.251	173.208
392	128.469	173.208
394	126.687	173.208
395	125.473	173.208
396	124.081	173.208
397	125.256	173.208
398	126.496	173.208
399	126.921	173.208
400	124.759	173.208
401	124.323	173.208
402	126.331	173.208
403	124.444	176.147
404	125.128	176.147
405	124.205	176.147
406	126.612	176.147
407	124.564	176.147
408	126.372	176.147
409	125.818	176.147
410	125.754	176.147
411	116.7	176.147
412	119.958	176.147
413	115.862	176.147
414	116.951	176.147
415	116.737	176.147
416	115.454	176.147
417	116.85	176.147
418	117.101	176.147
419	116.99	176.147
420	115.673	176.147
421	117.169	176.147
422	115.505	176.147
423	115	176.147
424	116.403	176.147
425	116.324	176.147
426	116.246	176.147
427	116.793	176.147
428	116.034	176.147
429	116.216	176.147
430	116.567	177.591
431	117.134	177.591
432	116.727	177.591
433	116.14	177.591
434	117.423	177.591
435	119.244	177.591
436	117.8	177.591
437	121.504	177.591
438	123.986	177.591
439	122.841	177.591
440	124.042	177.591
441	123.561	177.591
442	116.164	177.591
443	95.618	355.182
444	96.0097	355.182
445	96.3372	355.182
446	96.7686	355.182
447	98.5428	355.182
448	96.2647	355.182
449	96.0805	355.182
450	95.2099	355.182
451	97.5911	355.182
452	95.2097	168.668
453	95.3444	168.668
454	97.0073	168.668
455	98.0765	168.668
456	98.9389	168.668
457	97.2692	168.668
458	97.2394	168.668
459	97.034	168.668
460	97.892	168.668
461	97.9593	168.668
462	98.2725	168.668
463	98.0286	168.668
464	97.9902	168.668
465	97.8302	168.668
466	102.851	168.668
467	100.14	168.668
468	100.909	168.668
469	100.862	168.668
470	101.337	168.668
471	102.975	168.668
472	103.18	168.668
473	102.298	168.668
474	101.192	168.668
475	100.087	168.668
476	103.258	168.668
477	102.668	168.668
478	102.447	168.668
479	100.427	168.668
480	102.699	168.668
481	102.748	168.668
482	103.379	168.668
483	104.74	168.668
484	105.184	168.668
485	104.186	168.668
486	105.867	168.668
487	105.162	168.668
488	105.979	165.927
489	105.28	165.927
490	105.823	165.927
491	104.898	165.927
492	105.078	165.927
493	107.033	165.927
494	108.546	165.927
495	103.264	165.927
496	104.58	165.927
497	106.824	165.927
498	110.373	165.927
499	113.244	165.927
500	108.875	165.927
501	111.776	165.927
502	110.428	165.927
503	113.194	165.927
504	112.078	165.927
505	112.905	165.927
506	113.28	165.927
507	112.019	165.927
508	112.776	165.927
509	112.067	165.927
510	112.51	165.927
511	112.718	165.927
512	110.684	165.927
513	112.183	165.927
514	112.385	165.927
515	113.133	165.927
516	113.933	165.927
517	113.585	165.927
518	114.041	165.927
519	113.324	165.927
520	114.886	165.927
521	113.715	154.285
522	115.584	154.285
523	113.13	154.285
524	115.584	154.285
525	114.276	154.285
526	113.15	154.285
527	114.578	154.285
528	112.87	154.285
529	113.204	154.285
530	113.034	154.285
531	114.527	154.285
532	116.285	154.285
533	117.939	154.285
534	118.814	154.285
535	118.642	154.285
536	118.309	154.285
537	118.121	154.285
538	117.319	154.285
539	117.792	154.285
540	118.325	154.285
541	118.806	154.285
542	118.405	154.285
543	118.249	154.285
544	118.918	154.285
545	118.89	154.285
546	118.201	154.285
547	117.631	154.285
548	119.766	154.285
549	118.68	154.285
550	118.999	154.285
