segno	rttvar	srtt	rto
5179	12.6144	92.4483	142.906
5202	10.6872	93.0615	135.81
5223	9.95045	94.029	133.831
5244	10.3264	95.4608	136.766
5268	10.7439	96.9604	139.936
5295	13.151	99.5069	152.111
5323	14.1939	101.672	158.448
5352	17.5083	105.104	175.137
5382	17.307	107.192	176.42
5414	17.8362	109.62	180.964
5441	16.0733	108.271	172.565
5458	12.5069	108.045	158.073
5477	9.91256	108.312	147.962
5494	10.2457	109.717	150.7
5514	8.24684	109.999	142.986
5534	8.65455	111.233	145.852
5555	9.45878	112.717	150.552
5578	10.3542	114.347	155.764
5605	13.4987	111.481	165.476
5631	19.7012	106.692	185.497
5650	20.2077	103.976	184.807
5670	19.0891	102.01	178.366
5691	16.1631	101.087	165.739
5711	12.6408	100.827	151.39
5730	9.52784	100.851	138.962
5747	8.7325	101.644	136.574
5765	9.08476	102.912	139.251
5785	10.1804	104.595	145.317
5806	12.4322	106.994	156.723
5830	14.8759	109.77	169.273
5855	15.6078	111.995	174.426
5881	15.4128	113.849	175.5
5909	21.306	108.975	194.199
5934	22.292	105.819	194.987
5958	21.3084	103.524	188.758
5981	18.8866	102.072	177.618
6001	14.8982	101.705	161.298
6022	11.6463	101.942	148.527
6041	9.93024	102.539	142.26
6060	9.49919	103.565	141.562
6078	10.5837	105.295	147.629
6099	12.1177	107.385	155.855
6123	12.9219	109.301	160.989
6149	13.7964	111.354	166.539
6176	11.0291	111.695	155.811
6207	10.0373	110.812	150.961
6236	7.78638	110.941	142.087
6266	6.09011	111.066	135.427
6295	6.53001	112.048	138.168
6327	8.0043	113.601	145.618
6360	9.52651	115.363	153.469
6394	10.2932	116.937	158.11
6433	9.63571	115.979	154.522
6464	17.1963	110.994	179.779
6488	19.79	107.548	186.708
6517	18.8496	105.544	180.943
6544	16.4632	104.381	170.234
6571	13.4278	103.841	157.552
6596	10.8103	104.211	147.452
6622	8.93563	104.625	140.367
6646	9.41052	105.979	143.621
6668	10.7613	107.831	150.876
6692	11.8948	109.743	157.322
6716	12.5866	111.576	161.922
6741	13.6893	113.7	168.458
6774	11.5296	113.069	159.187
6804	18.3986	108.193	181.788
6825	20.4329	104.876	186.608
6852	18.7314	103.173	178.099
6881	16.7405	101.827	168.789
6903	13.1304	102.114	154.636
6927	10.2292	102.305	143.222
6951	9.40402	103.171	140.787
6976	8.81218	104.051	139.3
7002	9.90541	105.699	145.321
7029	11.6079	107.788	154.22
7056	13.7902	110.331	165.491
7080	14.0427	112.181	168.351
7104	14.1101	113.97	170.41
7128	20.3156	109.103	190.366
7157	21.7816	105.831	192.957
7181	20.3676	103.815	185.285
7202	18.1103	102.398	174.839
7225	14.9591	101.709	161.546
7247	11.592	101.896	148.264
7269	9.67425	102.386	141.083
7292	9.85115	103.684	143.088
7317	10.0579	105.018	145.25
7343	11.153	106.823	151.435
7369	13.203	109.242	162.054
7397	14.301	111.442	168.646
7425	14.8174	109.396	168.665
7441	12.0217	108.942	157.028
7471	16.127	105.386	169.894
