segno	rttvar	srtt	rto
0	36.308	72.616	217.848
1	29.8479	71.3075	190.699
4	22.9418	71.5855	163.353
10	17.3411	71.6528	141.017
19	14.2305	72.2652	129.187
38	14.5529	74.2052	132.417
51	23.5528	80.5242	174.735
82	29.87	86.627	206.107
111	29.2579	90.0546	207.086
125	30.6861	94.426	217.17
149	30.6849	98.2611	221.001
162	29.4996	95.0182	213.017
182	29.0256	91.5677	207.67
195	28.3653	88.2697	201.731
210	27.1406	85.3364	193.899
231	24.516	83.2561	181.32
249	21.2262	81.8365	166.741
266	17.8157	80.8884	152.151
285	13.8938	80.6225	136.198
302	11.6707	81.2476	127.931
321	10.3975	82.0699	123.66
341	10.6672	83.5044	126.173
361	11.5727	85.2906	131.581
382	12.7119	87.3067	138.154
405	13.9119	89.4957	145.143
429	15.981	92.2693	156.193
454	18.107	95.3299	167.758
480	19.9261	98.5028	178.207
507	22.2608	102.161	191.204
535	23.1745	105.4	198.099
564	22.24	107.83	196.79
595	18.0196	107.16	179.238
620	20.2564	103.789	184.815
643	17.9631	102.404	174.256
664	17.4884	100.396	170.35
685	14.234	99.8371	156.773
706	11.1708	100.085	144.768
729	9.17339	100.482	137.176
751	9.07765	101.581	137.892
775	10.0453	103.2	143.381
800	11.3651	105.115	150.576
826	13.2772	107.492	160.601
853	15.126	110.076	170.58
881	15.5612	112.184	174.429
896	14.6191	110.71	169.187
912	11.2229	110.581	155.472
929	8.95692	110.851	146.679
946	9.12539	112.055	148.556
965	9.76568	113.516	152.578
985	9.84586	114.776	154.16
1006	10.7267	116.448	159.354
1034	18.8811	111.03	186.554
1048	22.0907	107.065	195.427
1071	22.2269	104.235	193.143
1092	19.9762	102.582	182.487
1110	15.8905	102.128	165.69
1128	12.0587	102.198	150.433
1147	9.79134	102.572	141.737
1167	9.28259	103.542	140.672
1188	9.65426	104.888	143.505
1210	11.5514	107.043	153.249
1233	13.056	109.239	161.463
1257	13.1511	110.919	163.523
1281	16.3282	107.686	172.999
1309	19.3586	104.13	181.565
1334	18.8685	101.955	177.43
1356	16.6749	100.694	167.393
1377	13.2313	100.331	153.256
1398	10.1297	100.228	140.747
1418	9.73006	101.294	140.215
1438	10.2699	102.781	143.86
1459	10.6693	104.264	146.941
1478	11.0282	105.777	149.89
