segno	rtt	rto
0	72.616	100
1	62.1483	217.848
2	62.4663	217.848
3	69.8878	190.699
4	73.531	190.699
5	77.2837	190.699
6	81.882	190.699
7	63.0676	190.699
8	65.3624	190.699
9	69.8541	163.353
10	72.1246	163.353
11	76.6532	163.353
12	77.6257	163.353
13	80.6937	163.353
14	82.7103	163.353
15	63.5755	163.353
16	67.1928	163.353
17	66.816	163.353
18	68.8134	163.353
19	76.5513	163.353
20	78.396	163.353
21	78.6989	141.017
22	80.7367	141.017
23	84.7169	141.017
24	87.2505	141.017
25	88.9921	141.017
26	93.3673	141.017
27	88.7295	141.017
28	98.9234	141.017
29	99.1851	141.017
30	100.954	141.017
31	74.9223	141.017
32	79.8863	141.017
33	81.4651	141.017
34	82.7283	141.017
35	83.3023	141.017
36	85.9512	141.017
37	85.3028	141.017
38	87.7854	141.017
39	97.4967	129.187
40	100.823	129.187
41	105.689	129.187
42	108.404	129.187
43	106.863	129.187
44	109.265	129.187
45	111.519	129.187
46	112.667	129.187
47	114.929	129.187
48	119.082	129.187
49	118.866	129.187
50	121.388	129.187
51	124.757	129.187
52	128.029	129.187
53	125.562	129.187
54	129.75	129.187
57	126.623	129.187
58	129.274	129.187
61	128.554	129.187
63	128.121	129.187
65	126.057	129.187
66	127.348	129.187
69	129.451	129.187
70	130.658	129.187
73	127.115	129.187
74	129.5	129.187
75	130.663	129.187
77	130.452	132.417
79	128.394	132.417
81	126.821	132.417
82	129.346	132.417
83	129.688	132.417
86	129.815	132.417
87	130.953	132.417
89	131.279	132.417
91	128.782	132.417
93	129.981	132.417
95	126.81	132.417
99	127.938	132.417
101	127.647	132.417
103	128.706	174.735
104	129.939	174.735
107	127.33	174.735
109	125.089	174.735
110	127.346	174.735
111	114.048	206.107
112	116.59	206.107
113	110.872	206.107
114	112.228	206.107
115	112.746	206.107
116	118.94	206.107
117	121.303	206.107
118	121.109	206.107
119	121.649	206.107
120	122.535	206.107
121	124.496	206.107
122	123.595	206.107
123	120.767	206.107
124	127.336	206.107
125	125.025	206.107
126	125.761	206.107
127	125.924	206.107
128	123	206.107
129	125.803	206.107
130	125.319	206.107
131	125.622	206.107
132	125.845	206.107
133	127.653	207.086
134	126.344	207.086
135	126.092	207.086
136	124.314	207.086
137	124.72	207.086
138	125.376	207.086
139	126.42	207.086
140	126.007	207.086
141	127.948	207.086
143	124.682	207.086
144	125.581	207.086
145	125.932	207.086
146	125.873	207.086
147	125.573	207.086
148	124.835	207.086
149	125.107	207.086
150	124.383	207.086
151	76.4738	217.17
152	73.5093	217.17
153	75.9585	217.17
154	76.8557	217.17
155	78.0718	217.17
156	75.0496	217.17
157	73.6577	217.17
158	74.2021	217.17
159	74.0263	217.17
160	69.6728	221.001
161	67.2362	221.001
162	72.3174	221.001
163	72.1051	221.001
164	71.0984	221.001
165	72.108	221.001
166	75.3267	221.001
167	74.8995	221.001
168	74.5451	221.001
169	75.9788	221.001
170	74.2489	221.001
171	73.1761	221.001
172	74.9862	221.001
173	74.7903	221.001
174	75.1731	221.001
175	62.1334	213.017
176	63.0751	213.017
177	63.5225	213.017
178	63.7131	213.017
179	65.1825	213.017
180	65.5809	213.017
181	66.8854	213.017
182	67.4146	213.017
183	66.4501	213.017
184	62.2275	213.017
185	64.795	213.017
186	62.5773	213.017
187	64.0789	213.017
188	64.0549	213.017
189	64.9424	213.017
190	65.5113	213.017
191	65.8417	213.017
192	69.3301	213.017
193	67.8302	207.67
