segno	rttvar	srtt	rto
0	33.2592	66.5185	199.555
1	25.9639	66.0087	169.864
5	19.5926	65.9489	144.319
11	15.5058	66.3546	128.378
21	12.8567	66.9682	118.395
33	12.8196	68.5568	119.835
61	22.4059	74.9524	164.576
87	31.1256	82.113	206.616
125	33.3052	87.0935	220.314
149	34.2805	91.7443	228.866
179	34.6285	96.2033	234.717
200	28.6753	97.5553	212.256
232	26.0649	99.8345	204.094
256	20.4836	100.302	182.236
282	17.1598	101.201	169.84
310	16.7474	103.139	170.129
340	16.9665	105.342	173.208
369	17.1482	107.554	176.147
396	16.9928	109.62	177.591
427	14.538	110.516	168.668
459	14.2741	108.831	165.927
490	11.4575	108.455	154.285
519	9.81048	109.064	148.306
547	9.49965	110.135	148.133
574	11.1866	112.166	156.912
604	11.66	113.801	160.44
643	9.98975	113.178	153.137
677	12.1282	110.86	159.373
715	13.6421	108.587	163.156
749	11.9189	107.744	155.419
783	9.28723	107.918	145.067
817	8.57856	108.724	143.039
851	9.21971	110.117	146.996
883	10.5241	111.922	154.018
916	11.5428	110.097	156.268
945	10.8364	109.007	152.353
978	9.77083	108.186	147.269
1011	7.5468	108.295	138.482
1045	7.88199	109.406	140.934
1076	9.25152	111.076	148.082
1108	10.7343	112.974	155.911
1142	11.5892	114.743	161.1
1179	15.0518	111.563	171.77
1209	17.2423	108.586	177.555
1238	15.2876	107.408	168.559
1267	12.2321	107.025	155.954
1297	10.4255	107.651	149.353
1328	10.4523	108.967	150.776
1361	11.7635	110.929	157.983
1396	13.1785	113.107	165.821
1421	11.8409	112.129	159.492
1454	14.632	109.253	167.781
1485	14.5617	107.459	165.706
1515	11.5248	107.158	153.257
1543	9.05786	107.365	143.596
1570	9.6936	108.815	147.589
1597	10.5699	110.465	152.744
1625	12.0778	112.54	160.851
1653	10.069	112.035	152.311
1678	9.3537	112.936	150.35
1706	10.483	114.669	156.601
1737	10.8064	116.141	159.367
1764	10.6525	114.868	157.478
1796	11.8442	112.94	160.317
1827	9.40927	112.677	150.314
1857	7.62314	112.96	143.453
1887	7.82582	114.014	145.318
1915	9.48176	115.821	153.748
1947	11.6036	118.067	164.481
1975	9.32776	117.754	155.065
2000	8.27828	117.113	150.226
2025	6.36769	117.193	142.663
2049	6.8844	118.247	145.784
2075	7.30565	119.318	148.541
2104	9.46454	117.325	155.184
2136	10.8579	115.446	158.877
2167	9.57727	114.729	153.038
2197	7.25512	114.765	143.785
2225	7.69661	115.892	146.679
2255	8.37096	117.192	150.676
2286	8.10201	118.104	150.512
2316	14.9974	113.643	173.633
2348	15.0025	111.766	171.776
