time	number
382.455	4
392.925	1
443.778	3
454.013	3
464.701	2
1460.52	2
2488.69	1
2875.83	1
3395.58	1
3405.74	2
4108.36	1
4581.68	1
5533.52	1
5606.53	1
6549.79	1
7100.2	1
7754.54	1
8436.54	1
9167.32	1
9946.83	1
10454.1	1
10464.3	1
10506	2
10516.3	1
11193	2
11578.3	1
12256.5	2
13161.7	1
14533.7	1
14543.8	2
15013.2	1
15952.8	1
15973.2	2
17011.5	1
17022.1	1
17997.1	1
18648.5	1
19229.5	1
19775.1	3
19785.4	4
19795.8	2
21341.2	1
21708	1
22299.8	1
22309.9	1
23688.1	1
24025.6	1
24036	1
25229	1
25563.5	1
25573.9	1
25625.9	1
27211.2	2
27252.8	1
27283.9	1
28183.4	1
28194	1
29430.6	1
29441.1	1
30189	1
30240.4	1
31109.6	1
31161.5	2
31171.7	1
32780.9	1
32791.4	1
32801.8	2
32812	1
34349.6	1
34360	2
34370.7	1
34381.3	1
34401.8	1
35321.9	1
35342.5	1
36124	1
37197.3	1
37732.8	1
37754.4	1
38485.4	1
39621.5	1
39643.4	1
40226.7	1
40542.5	1
40553.4	1
41574.9	1
41585.1	1
42443.9	1
42507.1	1
43247.2	1
43825.2	1
44305.5	1
44326.6	1
45705.3	1
46009.8	1
46843.9	1
46886.2	1
47737.8	1
48013.6	1
48023.8	1
48670.8	1
49460.9	1
49767.4	2
50193.2	1
50837.8	1
51510.1	1
51848.6	3
52576.7	1
52588.5	6
52598.8	3
53467	1
53726	1
53768.3	1
54740.1	2
54750.4	2
55540.3	1
56209.2	1
56229.9	1
56273.3	4
57051.4	1
57445.4	4
57456.2	2
58180.4	1
58201.4	1
