time	number
440.032	4
450.221	3
502.396	2
512.585	2
522.769	7
532.963	6
543.126	4
553.736	1
920.301	1
982.583	1
1372.66	2
1405.37	1
1446.68	1
1977.76	1
2297.03	1
2369.32	1
2793.09	1
3321.5	2
3332.83	1
3344.07	1
3703.83	1
3766.92	1
4008.2	2
4018.36	1
4049.57	1
4430.41	1
4440.65	3
4450.81	2
4839.72	1
4849.9	1
5270.65	1
5280.86	2
5311.58	1
5713.16	1
5723.47	1
5734.44	1
6008.27	3
6019.43	1
6039.88	2
6220.15	1
6242	1
6712.45	2
7113.65	1
7377.56	1
7837.91	1
8120.77	1
8652.95	2
8674.61	1
8727.73	2
9178.16	1
9529.02	1
9602.41	1
9872.68	1
10277.5	1
10329.3	2
10785	1
10815.6	2
10848.4	1
11113.5	1
11809.7	1
11851.8	2
11862.7	1
12134.3	5
12144.6	2
12155	3
12574.2	1
12596.2	1
12647.6	1
13198.9	2
13702.6	1
14100.4	1
14163.5	2
14363.9	2
14374.1	2
14687.3	2
15056.6	1
15067	1
15099	2
15393.6	2
15853.7	2
16358.9	1
16391.2	1
16423.8	1
16434.6	1
16808.6	1
17102.3	1
17113	1
17154.3	1
17560.7	1
17591	1
17633.1	2
18052.1	1
18062.3	1
18451	1
18471.9	1
18808.2	1
19145.4	1
19713.5	1
20135.3	2
20145.6	1
20784.1	1
20814.8	1
20825.1	1
21029.5	1
21322.6	1
21364.5	1
21386.4	2
21397.5	1
21773.6	2
22139.3	1
22389.8	1
22411.3	1
22651.5	1
22946.7	2
22957.4	2
22999.2	1
23448.7	1
23479.8	1
23523.2	1
23860.2	1
23923.8	1
24124	1
24134.2	1
24185.3	1
24522.7	1
24595.9	1
24920.6	1
24931.3	5
24941.4	3
24953.2	2
25394.6	1
25899.4	1
25963.2	1
26257.5	5
26269.2	3
26295.3	1
26308.8	1
26322	3
26334.7	1
26614.8	1
26625	3
26638.2	2
27103.6	1
27440.5	1
27451.1	2
27849.8	1
28376	2
29043.7	3
29361.9	1
29372.2	2
29820.5	1
29830.9	2
29841.1	1
29883.5	2
30076.9	1
30869.1	2
30880.1	1
30890.5	1
30901.9	1
31319	1
31329.7	2
31731.8	1
32003.6	1
32482.4	1
32502.9	2
33105.1	1
33126.9	1
33148.5	1
33424.9	1
34143.8	1
34164.2	2
34677.8	1
34708.7	1
34751.6	1
34932.8	1
34943.1	2
34953.3	1
35217.5	1
35473.2	1
35929.5	1
36312	1
36920	1
36951.8	1
37165.3	1
37431	1
37462.4	1
37776.2	1
38563	1
38838.4	1
39280.4	1
39311.5	2
39696.4	1
39759	1
40145.4	1
40156.1	2
40606.2	1
40647.6	1
40898.6	1
40932.4	1
40964	1
41275.3	1
41337.2	1
41549	2
42039.5	1
42565.7	1
42576.1	1
42629.7	2
42641.6	1
43137.1	2
43450.9	1
43461.6	1
44025.4	2
44068.8	1
44487.8	2
44499	1
44784	1
44836.7	1
45342	2
