time	rtt	rto
69.1684	69.105	207.315
137.181	67.839	173.87
137.261	67.5811	148.834
204.771	67.4539	129.977
204.858	67.3522	115.736
216.359	78.7982	115.553
227.589	89.9806	126.865
293.513	65.7828	118.899
293.629	65.6064	112.166
304.824	76.7263	108.551
316.951	88.7852	118.751
327.185	98.9547	135.948
339.5	111.208	159.863
350.569	122.216	186.421
426.185	63.7626	181.051
435.706	73.2067	165.598
448.514	85.9511	149.006
459.23	96.5792	148.103
470.752	108.032	158.785
484.124	121.337	179.177
493.254	68.7753	177.235
505.547	79.2714	163.387
518.541	82.7467	148.63
528.933	80.1363	139.17
540.648	91.522	132.005
553.198	93.8786	128.689
566.756	95.9093	127.709
576.304	91.9057	121.568
586.274	92.9222	117.755
599.644	94.007	115.697
611.08	92.174	111.607
621.126	92.0743	108.203
634.687	93.89	107.508
645.914	92.5957	105.17
656.128	102.588	114.484
670.39	103.366	121.1
682.723	106.417	128.32
691.612	105.231	131.039
705.095	105.127	131.9
716.785	105.619	132.182
727.421	106.189	132.178
737.876	102.968	127.74
749.257	103.216	124.332
763.158	106.923	125.606
773.398	116.931	137.118
785.22	114.746	141.583
796.104	113.185	141.919
808.329	116.622	145.108
819.003	113.783	143.116
830.721	113.71	140.811
842.456	114.934	139.828
854.061	116.091	139.706
865.67	116.317	139.143
877.358	114.128	135.598
888.99	115.463	134.101
900.727	115.414	132.482
912.205	126.709	143.593
923.874	127.643	151.408
935.588	127.138	155.225
948.55	129.453	159.457
958.823	127.973	159.631
970.269	127.719	158.471
983.125	128.971	158.157
994.412	128.618	156.641
1006.92	129.438	155.694
1017.76	128.676	153.394
1029.79	128.963	151.436
1043.01	130.709	151.412
1053.13	129.114	148.955
1066.8	131.123	148.983
1075.77	127.104	143.922
1086.76	127.396	140.403
1100.22	129.837	140.434
1111.5	128.242	138.329
1121.72	127.184	135.672
1133.92	126.92	133.895
1146.31	128.241	133.358
1156.77	126.854	132.306
1168.35	125.185	132.906
1182.21	129	133.647
1248.92	66.1167	185.575
1249.03	66.1447	215.895
1259.14	76.21	222.306
1270.49	87.5047	212.065
1281.78	98.74	191.621
1293.69	110.567	176.338
1356.99	63.1518	195.78
1357.77	63.6011	204
1369.05	74.7911	195.217
1380.42	86.0933	175.8
1391.79	97.3353	160.669
1402.65	108.142	160.917
1414.64	120.074	172.855
1545.55	66.0417	182.021
1554.62	75.0577	176.523
1567.66	88.0549	158.372
1610.44	65.0639	164.38
1610.86	65.2573	165.05
1621.19	75.5405	153.373
1632.66	77.5413	141.527
1644.03	76.2522	132.882
1678.03	67.4674	133.125
1678.31	67.3939	131.297
1688.21	66.8941	128.538
1697.2	75.6165	117.169
1709.85	77.061	107.146
1721.68	77.5546	100.177
1743.56	65.4305	104.647
1744.78	66.4198	105.489
1755.25	66.9196	104.384
1766.67	69.3455	100.365
1778.3	68.3262	97.6498
1790.11	78.8595	98.5656
1801.7	79.8924	99.7127
1813.43	69.7721	97.0705
1825.92	81.0817	99.6732
1837.33	81.9812	101.812
1848.22	81.4713	102.023
1859.88	81.5031	101.554
1872.06	81.8446	101.005
1883.32	92.9131	112.497
1897.18	95.3811	122.203
1907.59	94.0688	126.259
1919.02	92.9944	126.705
1931.87	94.422	127.551
1941.55	93.2322	125.732
1953.61	93.5978	123.934
1966.65	94.496	122.817
1976.55	93.1457	119.68
1991.28	93.8004	117.528
2001.6	103.376	126.147
2013.45	105.715	133.723
2026.24	105.581	137.67
2037.08	105.089	138.702
2047.86	106.222	139.604
2060.39	106.662	139.648
2071.13	104.361	136.058
2081.32	104.652	133.038
2092.82	101.542	126.67
2105.31	103.628	124.054
2116.68	114.918	134.4
2127.78	114.145	139.71
2139.57	113.165	141.293
2151.12	113.924	142.308
2163.36	115.473	143.83
2174.65	114.133	142.435
2186	114.735	141.312
2198.91	117.474	142.826
2211.05	118.097	143.727
2226.41	121.006	146.791
2236.58	119.777	146.613
2245.31	117.402	142.986
2256.92	128.742	152.564
2268.09	128.424	157.747
2279.35	128.114	159.883
2293.05	129.43	161.772
2303.41	128.655	161.13
2316.38	130.285	161.527
2327.78	128.731	159.064
2337.33	126.132	153.575
2349.92	123.385	146.03
2360.76	124.049	141.113
2373.24	127.792	141.564
2384.03	127.008	140.548
2396.66	128.473	141.106
2407.56	127.961	140.501
2418.91	125.753	137.228
2431.1	127.635	136.84
2442.58	126.066	134.532
2453.94	126.035	132.718
2466.51	129.1	134.767
2478.08	128.036	134.737
2489.04	128.18	134.67
2502	128.654	134.957
2513.27	129.13	135.483
2524.77	127.81	134.145
2536.57	128.541	133.892
2624.96	66.4372	185.604
2667.87	65.9333	216.257
2668.14	65.9617	231.65
2679.78	77.5528	226.432
2689.99	64.9176	229.411
2734.48	66.5369	224.809
2734.76	66.5751	216.809
2744.93	76.6972	198.008
2756.51	76.6145	181.951
2767.88	77.7909	167.092
2799.09	64.5111	166.17
2800.89	66.0909	161.006
2811.08	66.0233	154.71
2822.27	65.6405	148.142
2834.31	77.6024	130.787
2847.16	79.1905	119.087
2869.77	69.1403	116.558
2870.08	69.1246	113.43
2880.12	68.8152	110.263
2893.36	71.0052	104.974
2905.11	70.7012	100.707
2916.22	81.7436	102.701
2927.24	79.8822	101.26
2938.08	68.2196	101.323
2949.95	79.826	100.44
2961.7	81.3612	100.944
2972.62	79.0588	98.0718
2983.98	78.7533	95.2492
2996.8	80.4731	94.8163
3007.67	79.6354	93.1415
3019	90.3108	103.63
3030.74	92.5659	112.634
3042.43	92.2097	117.515
3054.19	92.3201	120.052
3066.88	94.1625	122.922
3078.26	94.1843	123.932
3088.75	91.7576	120.935
3101.1	93.4276	119.935
3112.37	93.2485	118.249
3123.97	104.573	129.102
3135.64	104.658	135.553
3148.11	105.571	139.848
3159.85	105.565	141.589
3170.51	103.5	139.283
3182.28	103.912	137.114
3195.17	106.32	137.363
3205.59	104.372	134.364
3217.92	105.289	132.49
3228.5	104.395	129.405
3240.73	104.99	127.269
3252.08	116.142	137.716
3263.66	115.355	143.012
3275.3	115.131	145.371
3286.93	116.28	147.268
3298.61	116.256	147.517
3310.28	115.007	145.299
3323.29	117.569	145.778
3333.64	115.626	143.025
3345.74	117.157	142.085
3357.32	116.483	139.931
3368.75	116.581	137.895
3380.1	127.725	148.429
3391.72	127.934	154.93
3404.15	128.753	159.274
3414.9	127.87	160.178
3426.67	127.925	159.824
3438.63	128.196	158.899
3450.05	126.658	155.602
3461.86	128.088	154.144
3473.98	128.087	152.37
3484.69	127.237	149.492
3497.31	128.45	148.272
3508.51	128.308	146.693
3520.54	128.674	145.493
3532.14	127.838	143.239
3544.09	129.11	142.71
3554.66	127.896	140.572
3566.41	127.541	138.374
3578.04	127.836	136.924
3589.75	127.642	135.47
3601.51	127.425	134.028
3613.84	129.007	134.655
3625.56	127.96	133.712
3636.62	127.999	132.957
3648.09	127.439	131.677
3661.42	129.021	132.484
3671.65	127.457	131.331
3751.69	65.8671	184.345
3802.61	71.0502	210.898
3802.88	70.8346	224.142
3816.49	84.1897	216.356
3827.27	75.4599	214.755
3867.42	64.7147	218.754
3870.52	67.5988	214.041
3879	76.0334	198.991
3889.75	73.1402	187.804
3901.29	73.9016	176.213
3934.88	67.3886	171.108
3935.18	64.5957	166.96
3944.85	65.7512	160.028
3956.56	66.668	151.731
3967.81	77.662	134.008
3980.11	78.7057	120.555
4002.98	68.0041	119.037
4003.4	68.1728	116.299
4013.76	68.8109	112.439
4025.38	68.7156	108.627
4038.31	70.3609	103.438
4050.36	82.1391	105.44
4060.85	80.6478	104.348
4072.32	69.2005	102.695
4083.82	80.3492	102.009
4096.39	82.5381	103.344
4107.95	82.5063	103.534
4119.3	80.8854	101.178
4130.66	80.1734	98.1974
4143.45	82.4687	98.26
4154.91	93.6623	110.4
4166.5	94.0532	118.284
4178.97	95.0253	123.794
4189.73	93.2074	124.466
4202.3	94.2465	125.099
4213.04	93.6299	123.857
4227.98	97.1864	126.098
4237.58	94	123.081
4248.1	93.1068	119.187
4260.67	105.478	129.735
4272.6	105.972	136.454
4283.82	104.751	138.537
4294.76	104.922	139.041
4306.43	104.006	137.275
4318.28	105.148	136.361
4329.92	101.849	131.075
4341.48	103.8	128.887
4353.87	105.667	128.767
4365.29	104.477	126.628
4377.02	104.288	124.32
4387.88	114.882	134.097
4399.76	115.814	140.962
4411.4	116.537	145.495
4423.14	116.608	147.643
4434.94	116.52	147.985
4447.88	117.816	148.684
4459.35	117.776	148.133
4471.05	117.082	146.042
4482.08	116.665	143.295
4493.33	116.197	140.135
4504.67	116.714	137.894
4516.85	128.711	149.258
4528	128.142	155.433
4539.62	128.118	158.606
4552.06	128.796	160.498
4563.6	128.561	160.485
4574.47	126.494	157.153
4586.4	126.942	154.513
4598.81	127.622	152.683
4610.95	128.743	151.96
4622.57	129.166	151.236
4633.88	129.116	150.015
4644.72	127.774	147.05
4656.12	128.022	144.782
4668.82	129.101	143.984
4680.35	128.179	141.957
4691.78	128.067	140.071
4703.59	129.049	139.563
4715.38	128.852	138.679
4726.93	127.948	136.775
4737.69	126.608	134.865
4750.43	127.717	133.618
4766.7	132.68	138.199
4776.85	131.982	140.248
4784.53	128.281	137.366
4797.2	128.303	135.173
4807.74	127.237	134.45
4820.31	128.373	133.066
4887.52	65.4908	186.763
4932.63	65.264	218.41
4932.89	65.4139	234.261
4944.26	76.6168	229.585
4954.39	66.7351	230.382
4997.9	65.1388	227.188
4998.21	65.2439	219.936
5008.05	75.0138	201.794
5018.83	74.4763	186.397
5030.89	76.3924	171.118
5061.89	63.8907	169.07
5062.08	63.8227	164.499
5072.89	64.7403	157.55
5083.07	64.1488	150.607
5095.43	76.32	132.699
5106.28	75.2872	120.089
5128.55	66.5577	118.052
5129.36	67.2428	114.506
5141.08	68.0609	109.987
5153.64	70.4374	103.631
5164.3	68.7361	99.9116
5175.98	79.9062	101.278
5188.67	82.2891	104.188
5200.21	71.5653	99.4825
5211.76	82.2878	102.218
5225.54	84.3515	105.712
5237.43	83.6639	106.564
5246.76	82.3892	104.974
5259.09	83.0061	103.918
5271.33	82.5419	102.05
5281.5	92.4138	111.32
5293.19	92.8488	117.302
5304.7	92.8052	120.414
5315.87	89.6566	118.052
5328.56	91.0134	117.141
5339.56	92.6214	117.535
5351.02	91.8449	116.142
5362.65	91.1894	113.731
5374.32	92.7203	113.167
5385.88	104.094	124.952
5398.27	104.953	133.002
5409.87	105.064	137.533
5421.2	105.233	139.681
5432.38	103.691	138.28
5445.01	105.352	138.148
5455.81	104.668	136.267
