time	number
548.635	6
559.407	4
569.709	2
579.985	2
590.255	2
600.487	2
611.586	4
632.962	2
643.896	2
654.568	4
664.777	2
676.232	2
698.348	1
708.577	3
719.629	3
730.527	5
741.107	3
751.519	10
763.345	1
1474.47	1
1506.42	1
1517.37	1
2344.35	4
2355.5	2
2366.07	3
2377.5	1
2389.42	2
2807.18	1
3277.57	1
3288.38	1
3881.08	1
3892.51	2
3913.23	2
4352.47	1
4436.82	1
4469.77	1
4921.75	1
4931.94	1
5024.17	2
5034.86	2
5294.63	2
5856.14	1
6459.54	2
6470.07	2
6505.28	1
6516.03	3
7017.64	1
7069.32	3
7080.78	3
7096.18	1
7540.19	2
7550.34	1
7602.62	3
7612.89	2
7623.62	2
8054.22	1
8106.3	1
8117.73	2
8624.98	1
8655.85	1
8687.62	1
9230.17	1
9252.38	2
9263.35	2
9273.87	2
9728.62	1
9749.19	1
9804.94	1
10327.1	1
10379.5	3
10391.1	2
10945.2	1
10955.8	1
10966.6	2
11397.5	2
11418.5	2
11960.7	1
11971.3	2
12537.1	1
12547.4	2
13069.5	1
13121	1
13131.9	2
13779.5	1
13789.7	2
14327.4	1
14337.8	1
14348.6	2
14359.4	1
14370.1	1
14380.4	2
14391.5	4
14800.3	1
14810.8	1
14820.9	1
14842.8	1
14895.8	1
15402.9	2
15413.2	2
15444.3	1
15455.1	1
15486.4	2
15896.8	1
15937.7	1
15969.8	1
16477.4	1
17051.3	2
17061.4	1
17123.8	1
17589	1
17599.3	2
18169.1	2
18179.3	1
18200.3	1
18838.4	2
18848.6	3
19353	1
19374.6	1
19385.1	1
19396.2	3
19407.1	2
19417.6	2
19481.1	1
20037.7	2
20048	2
20058.7	2
20584.3	1
20615.3	1
20625.8	2
21082	1
21092.1	1
21153.9	1
21164.5	1
21197.6	1
21208.1	1
21723.9	1
21734.1	1
21744.4	2
21817.8	1
22377.7	2
22399.2	1
22409.7	2
22420.5	2
22432.1	1
22859	1
22880.3	1
23539.6	1
23550.6	1
23635.7	1
24054.5	1
24085.6	1
24096.5	2
24107.2	1
24636.2	1
24659.5	1
24998	1
25012.2	1
25120	2
25619.2	1
26457	1
26467.5	1
26573.2	1
27002.3	1
27012.7	1
27023.3	2
27128.4	1
27548.3	1
27570.9	1
27593.7	1
27606	1
28045.9	1
28056.4	1
28683.2	1
28714.6	1
28768.4	1
28779.1	1
28813.5	1
29359.4	1
29477.4	2
29904.7	1
29916.2	1
29926.5	2
29937.1	1
30001.5	1
30497	2
30508.1	1
30927.7	1
31042.6	1
31388.3	1
31802.3	2
31833.9	2
31857.5	2
32381.4	1
32392.7	1
32404.3	1
32489.3	1
32998.3	1
33040.1	1
33051.2	2
33062.7	1
33073.7	2
33490.9	1
33576	1
34083.1	2
34093.8	1
34603.1	1
34624.7	2
34658.4	2
34672	1
35084	2
35147.7	1
35179.3	1
35588.1	1
35703.3	1
36127.6	1
36138.2	1
36842.1	1
36852.3	2
36863.1	1
36874	1
37377.2	2
37387.4	2
37397.6	3
37410.1	2
37422	2
37864.4	1
37971.7	1
38225.8	1
38791	1
39213	1
39784.8	2
39795.4	1
39806.6	1
40555.4	1
40576.5	1
40586.8	1
40597.6	2
41105.1	1
41116	1
41126.7	2
41137.9	2
41148.7	1
41730.4	2
41740.6	1
42265.2	1
42275.9	1
42297.1	1
42309.2	1
42739.9	1
43189.9	1
44135.2	1
44167	2
44178.9	1
44190	2
44201.5	1
44212.4	1
44714.4	1
44745.3	1
44755.9	1
44809.1	1
