segno	rtt	rto
415	126.342	197.666
416	127.251	197.666
417	125.674	197.666
418	126.411	197.666
419	126.396	197.666
420	127.711	197.666
421	130.17	197.666
422	126.649	189.774
423	127.234	189.774
424	129.177	189.774
425	125.909	189.774
426	130.199	189.774
427	128.075	189.774
428	127.464	189.774
429	128.724	189.774
430	125.764	189.774
431	128.213	189.774
432	128.274	189.774
433	126.457	189.774
434	129.175	189.774
435	126.07	189.774
436	127.712	189.774
437	128.567	189.774
438	127.929	189.774
439	129.648	189.774
440	129.225	189.774
441	130.878	189.774
442	130.672	189.774
443	130.6	189.774
444	129.284	189.774
445	129.033	185.635
446	130.435	185.635
447	130.356	185.635
448	129.693	185.635
449	129.742	185.635
450	132.627	185.635
451	131.217	185.635
452	132.85	185.635
453	132.944	185.635
454	131.768	185.635
455	133.287	185.635
456	130.316	185.635
457	131.99	185.635
458	132.66	185.635
459	132.428	185.635
460	132.823	185.635
461	132.773	185.635
462	132.731	185.635
463	133.65	185.635
464	131.404	185.635
465	134.252	185.635
466	132.604	185.635
467	131.836	185.635
468	133.794	185.635
469	132.437	185.635
470	134.771	183.314
471	135.115	183.314
472	136.396	183.314
473	134.811	183.314
474	136.389	183.314
475	134.893	183.314
476	134.571	183.314
477	135.5	183.314
478	134.958	183.314
479	136.63	183.314
480	134.732	183.314
481	136.594	183.314
482	138.502	183.314
483	137.775	183.314
484	139.408	183.314
485	137.767	183.314
486	138.876	183.314
487	139.835	183.314
488	138.26	183.314
489	137.046	183.314
490	137.653	183.314
491	138.569	183.314
492	136.933	183.314
493	137.855	183.314
494	138.434	183.314
495	137.757	183.314
496	138.085	183.314
497	137.9	183.314
498	137.795	183.314
499	137.897	183.314
500	136.641	183.314
501	139.737	186.34
502	139.071	186.34
503	138.513	186.34
504	139.693	186.34
505	138.979	186.34
506	140.295	186.34
507	139.708	186.34
508	139.748	186.34
509	139.682	186.34
510	139.458	186.34
511	140.405	186.34
512	140.268	186.34
513	143.359	186.34
514	140.502	186.34
515	142.334	186.34
516	140.028	186.34
517	142.057	186.34
518	141.729	186.34
519	140.306	186.34
520	141.622	186.34
521	142.267	186.34
522	142.563	186.34
523	141.804	186.34
524	142.716	186.34
525	141.839	186.34
526	140.642	186.34
527	142.348	186.34
528	141.996	186.34
529	142.417	186.34
530	142.931	186.34
531	139.999	186.34
532	142.617	186.34
533	144.978	192.301
534	144.242	192.301
535	144.428	192.301
536	144.386	192.301
537	144.426	192.301
538	145.098	192.301
539	144.5	192.301
540	143.789	192.301
541	144.486	192.301
542	143.624	192.301
543	144.066	192.301
544	144.402	192.301
545	144.782	192.301
546	146.546	192.301
547	147.209	192.301
548	146.881	192.301
549	146.354	192.301
550	146.995	192.301
551	145.528	192.301
552	146.504	192.301
553	147.133	192.301
554	148.318	192.301
555	146.707	192.301
556	146.196	192.301
557	146.341	192.301
558	146.916	192.301
559	146.523	192.301
560	147.972	192.301
561	146.083	192.301
562	146.172	192.301
563	146.394	192.301
564	146.791	192.301
565	146.997	192.301
566	149.475	200.467
567	149.332	200.467
568	150.34	200.467
569	149.21	200.467
570	148.997	200.467
571	149.281	200.467
572	149.573	200.467
573	149.416	200.467
574	148.929	200.467
575	149.75	200.467
576	150.044	200.467
577	149.447	200.467
578	148.056	200.467
579	148.096	200.467
580	150.59	200.467
581	152.518	200.467
582	151.294	200.467
583	152.311	200.467
584	150.989	200.467
585	152.183	200.467
586	151.32	200.467
587	151.252	200.467
588	150.297	200.467
589	150.714	200.467
590	151.343	200.467
591	151.234	200.467
592	150.672	200.467
593	152.139	200.467
594	149.824	200.467
595	151.94	200.467
596	151.209	200.467
597	151.335	200.467
598	152.632	200.467
599	150.517	200.467
600	154.426	209.15
601	154.191	209.15
602	154.307	209.15
603	155.075	209.15
604	154.622	209.15
605	153.313	209.15
606	153.384	209.15
607	154.438	209.15
608	153.891	209.15
609	153.964	209.15
610	153.192	209.15
611	153.329	209.15
612	154.842	209.15
613	154.807	209.15
614	154.969	209.15
615	156.558	209.15
616	155.031	209.15
617	156.569	209.15
618	156.22	209.15
619	156.695	209.15
620	154.998	209.15
621	156.368	209.15
622	156.013	209.15
623	157.028	209.15
624	156.721	209.15
625	157.003	209.15
626	157.099	209.15
627	156.182	209.15
628	156.848	209.15
629	158.012	209.15
630	155.785	209.15
631	157.514	209.15
632	155.671	209.15
633	156.354	209.15
634	158.305	209.15
635	157.559	218.554
636	159.213	218.554
637	157.301	218.554
638	157.979	218.554
639	157.975	218.554
640	157.934	218.554
641	159.378	218.554
642	157.145	218.554
643	159.529	218.554
644	159.449	218.554
645	158.382	218.554
646	159.987	218.554
647	156.987	218.554
648	159.367	218.554
649	157.185	218.554
650	157.766	218.554
651	161.245	218.554
652	161.598	218.554
653	162.406	218.554
654	161.085	218.554
655	160.183	218.554
656	162.123	218.554
657	161.504	218.554
658	164.913	218.554
659	161.073	218.554
660	161.071	218.554
661	160.586	218.554
662	160.277	218.554
663	160.512	218.554
664	161.361	218.554
665	159.986	218.554
666	160.882	218.554
667	160.757	218.554
668	161.321	218.554
669	160.933	218.554
670	159.312	218.554
671	162.524	226.246
672	161.961	226.246
673	162.57	226.246
674	162.327	226.246
675	163.162	226.246
676	162.948	226.246
677	161.887	226.246
678	163.26	226.246
679	162.526	226.246
680	161.68	226.246
681	163.342	226.246
682	161.914	226.246
683	163.81	226.246
684	161.269	226.246
685	162.99	226.246
686	164.288	226.246
687	163.323	226.246
688	164.715	226.246
689	164.525	226.246
690	163.602	226.246
691	165.517	226.246
692	165.588	226.246
693	164.828	226.246
694	163.668	226.246
695	161.388	226.246
696	164.942	226.246
697	164.616	226.246
698	165.365	226.246
699	166.289	226.246
700	165.951	226.246
701	164.098	226.246
702	165.66	226.246
703	164.571	226.246
704	166.93	226.246
705	164.788	226.246
706	165.212	226.246
707	165.586	226.246
708	169.047	234.734
709	168.343	234.734
710	169.352	234.734
711	168.015	234.734
712	168.424	234.734
713	168.597	234.734
714	168.358	234.734
