segno	rttvar	srtt	rto
0	41.7987	83.5975	250.792
1	35.7982	81.3729	224.566
7	31.6443	78.9751	205.552
19	25.5589	78.0622	180.298
38	22.0436	79.4994	167.674
49	29.7169	86.0915	204.959
78	44.8067	97.351	276.578
236	68.486	114.791	388.735
266	55.0245	112.961	333.06
293	43.1095	112.041	284.479
320	33.6216	111.396	245.882
345	25.7274	111.652	214.561
369	21.2581	112.633	197.666
393	18.914	114.118	189.774
416	17.4687	115.76	185.635
440	16.4678	117.443	183.314
470	16.6829	119.609	186.34
501	17.544	122.125	192.301
533	18.8713	124.982	200.467
566	20.2767	128.043	209.15
600	21.8031	131.341	218.554
635	22.907	134.618	226.246
671	24.1567	138.107	234.734
708	25.8527	141.974	245.385
746	27.0517	145.805	254.012
785	27.8613	149.592	261.037
825	29.0137	153.65	269.705
866	30.4991	158.02	280.016
908	30.6045	161.885	284.303
951	31.5244	166.17	292.268
995	32.205	170.451	299.271
1040	32.5233	174.636	304.729
1086	32.0415	178.461	306.627
1133	33.6771	183.284	317.992
1181	34.3325	187.821	325.151
1230	35.4244	192.658	334.356
1280	36.0654	197.407	341.669
1331	34.8686	201.317	340.791
1383	34.9655	205.724	345.586
1436	35.7119	210.468	353.315
1490	35.615	214.883	357.343
1545	35.4595	219.257	361.095
1601	36.0899	224.005	368.364
1658	36.1799	228.561	373.281
1716	36.0433	233.015	377.188
1775	35.7041	237.351	380.168
1835	36.1849	242.055	386.794
1896	36.7542	246.862	393.879
1958	36.8359	251.497	398.841
2021	37.0561	256.212	404.437
2085	37.2752	260.954	410.054
2150	37.3848	265.668	415.207
2216	37.2436	270.27	419.245
2283	37.2818	274.945	424.072
2351	37.6154	279.772	430.234
2420	37.2072	284.27	433.099
2490	37.6415	289.138	439.704
2561	37.4799	293.762	443.682
2633	36.4479	297.931	443.723
2706	33.9596	301.243	437.082
2780	34.7003	305.858	444.659
2855	36.8149	311.253	458.513
2931	32.0447	313.47	441.649
3008	30.7977	316.852	440.043
3086	31.0382	320.822	444.975
3165	32.9323	325.649	457.378
3245	35.6647	331.131	473.79
3326	31.9169	333.716	461.383
3405	36.4686	339.981	485.856
3478	37.5878	345.099	495.45
3544	41.0103	351.509	515.55
3614	39.1596	355.71	512.348
3685	38.5192	360.285	514.361
3761	38.1901	364.935	517.695
3846	37.7632	369.495	520.548
3930	35.8601	373.264	516.705
4016	35.7026	377.668	520.478
4103	36.7238	382.641	529.537
4192	33.3998	385.57	519.169
4284	33.4413	389.766	523.531
4376	35.3762	394.913	536.418
4464	37.026	400.16	548.264
4551	37.1872	404.869	553.618
4633	37.2186	409.533	558.407
4715	37.1538	414.153	562.768
4799	35.2711	417.856	558.94
4884	35.1635	422.211	562.865
4971	35.4161	426.733	568.397
5071	35.2044	431.054	571.871
5172	35.0105	435.358	575.4
5274	35.858	440.158	583.589
5377	35.3267	444.374	585.681
5481	36.583	449.418	595.75
5586	36.2933	453.846	599.02
5692	36.0716	458.272	602.558
5799	36.2188	462.855	607.73
5907	36.0932	467.319	611.692
6016	36.2741	471.921	617.018
6126	36.4522	476.545	622.353
6237	36.2589	481.004	626.04
6349	36.3956	485.605	631.188
6462	36.6904	490.302	637.064
6576	36.8297	494.958	642.277
6691	36.7483	499.521	646.514
6807	37.188	504.334	653.086
6924	36.7244	508.751	655.649
7042	36.5978	513.278	659.669
7161	36.9405	518.024	665.786
7281	36.9265	522.635	670.341
7402	37.0052	527.29	675.311
7524	37.4583	532.142	681.976
7647	35.9895	536.09	680.048
7771	36.6663	540.927	687.592
7896	35.2571	544.806	685.834
8022	36.8495	550.009	697.407
8149	36.8886	554.635	702.189
8277	36.189	558.896	703.652
8406	36.0672	563.359	707.628
8536	35.9862	567.827	711.772
8667	35.9694	572.317	716.195
8799	35.5013	576.579	718.584
8932	35.8071	581.169	724.398
9066	36.2338	585.859	730.794
9201	36.2321	590.387	735.316
9337	37.121	595.361	743.844
9474	36.2538	599.567	744.582
9612	36.6458	604.295	750.878
9751	36.7055	608.905	755.727
9891	36.831	613.556	760.88
10032	37.6522	618.571	769.179
10174	37.5171	623.21	773.278
