segno	rtt	rto
0	72.0667	100
1	65.8193	216.2
2	66.6609	216.2
3	63.1229	185.633
4	67.5479	185.633
5	67.2856	185.633
6	69.4822	185.633
7	63.0197	185.633
8	66.7253	185.633
9	68.254	185.633
10	71.1405	185.633
11	72.335	185.633
12	74.6314	185.633
13	74.6311	185.633
14	76.4399	185.633
15	66.6921	164.279
16	67.4908	164.279
17	69.1749	164.279
18	71.3441	164.279
19	77.0941	164.279
20	79.4301	164.279
21	78.591	164.279
22	81.3461	164.279
23	82.3976	164.279
24	84.827	164.279
25	84.6486	164.279
26	86.7867	164.279
27	88.7128	164.279
28	90.075	164.279
29	91.106	164.279
30	94.0971	164.279
31	79.812	164.279
32	81.4221	164.279
33	83.8525	164.279
34	90.1346	164.279
35	88.9032	141.716
36	91.0141	141.716
37	91.1444	141.716
38	93.395	141.716
39	99.2058	141.716
40	101.194	141.716
41	104.892	141.716
42	108.996	141.716
43	108.285	141.716
44	110.023	141.716
45	108.782	141.716
46	110.662	141.716
47	113.959	141.716
48	115.524	141.716
49	112.799	141.716
50	117.038	141.716
51	115.851	141.716
52	117.685	141.716
53	120.317	141.716
54	122.341	141.716
55	119.36	141.716
56	120.793	141.716
57	122.442	141.716
58	124.237	141.716
59	127.908	141.716
60	130.337	141.716
61	130.047	141.716
62	132.661	141.716
63	156.626	134.722
64	159.515	134.722
65	163.01	134.722
66	165.152	134.722
67	164.854	134.722
68	167.036	134.722
69	171.111	134.722
70	172.757	134.722
71	176.33	134.722
72	178.997	134.722
73	179.003	134.722
74	181.722	134.722
75	181.89	134.722
76	184.033	134.722
77	183.33	134.722
194	308.462	473.977
195	307.016	473.977
196	309.167	473.977
197	308.443	473.977
198	298.373	473.977
199	272.737	473.977
200	273.301	473.977
201	259.518	473.977
202	259.436	473.977
203	240.103	473.977
204	240.033	473.977
205	242.265	473.977
206	229.966	473.977
207	218.735	473.977
208	218.391	473.977
209	225.969	473.977
210	228.029	473.977
211	230.743	473.977
212	244.185	473.977
213	161.944	448.581
214	161.036	448.581
215	159.114	448.581
216	159.844	448.581
217	161.683	448.581
218	163.084	448.581
