segno	rttvar	srtt	rto
927	5.97906	188.845	212.761
930	5.96718	189.587	213.455
931	6.05236	190.375	214.585
934	5.91623	191.064	214.729
943	5.82988	191.76	215.08
952	4.67456	191.911	210.609
960	3.81708	192.067	207.335
968	4.51389	192.892	210.948
973	4.55035	193.475	211.676
974	4.68568	194.111	212.854
977	4.89426	194.801	214.378
986	4.93557	195.434	215.176
995	5.06958	196.117	216.396
1004	4.81548	196.624	215.886
1012	5.11613	197.376	217.841
1017	5.12097	198.018	218.502
1018	5.44007	198.818	220.578
1021	5.49192	199.524	221.492
1030	5.50575	200.217	222.24
1039	5.19617	200.751	221.535
1048	5.06809	201.336	221.609
1057	5.45298	202.162	223.974
1062	5.39165	202.813	224.38
1063	5.32592	203.454	224.758
1066	6.07765	204.496	228.806
1075	6.07891	205.256	229.572
1085	5.64833	205.801	228.394
1093	5.68844	206.527	229.281
1102	6.36848	207.578	233.052
1108	6.4154	208.397	234.059
1109	5.11869	208.551	229.026
1112	5.11585	209.189	229.653
1122	5.25348	209.898	230.912
1132	5.01284	210.434	230.485
1141	4.675	210.892	229.592
1149	5.51018	211.894	233.934
1155	4.87141	212.263	231.749
1156	4.98548	212.929	232.871
1159	5.08187	213.6	233.928
1169	5.49255	214.441	236.411
1180	5.51808	215.14	237.213
1188	6.0655	216.104	240.366
1198	5.86927	216.764	240.241
1203	5.93118	217.529	241.253
1204	5.28989	217.949	239.109
1206	5.63577	218.783	241.327
1213	5.55641	219.448	241.674
1223	5.20856	219.969	240.803
1233	4.95347	220.492	240.306
1242	4.5205	220.895	238.977
1250	5.87049	222.135	245.617
1252	5.17982	222.524	243.243
1253	4.24264	222.703	239.673
1255	4.28885	223.256	240.411
1262	5.90811	224.602	248.234
1274	6.56341	225.668	251.922
1285	5.88634	226.15	249.695
1295	4.59617	226.24	244.625
1301	4.44606	226.74	244.524
1302	4.35346	227.249	244.663
1303	4.21713	227.725	244.594
1304	6.00442	229.146	253.164
1309	6.61397	230.202	256.657
1320	6.3934	230.918	256.492
1330	6.45233	231.747	257.556
1340	5.99712	232.326	256.314
1350	5.64525	232.899	255.48
1353	5.49768	233.531	255.522
1354	4.94163	233.94	253.707
1356	3.74537	233.921	248.902
1361	3.76058	234.397	249.439
1371	3.83265	234.903	250.233
1382	3.75452	235.343	250.361
1392	3.47779	235.674	249.585
1400	5.07748	236.908	257.218
1405	4.00884	236.808	252.843
1408	15.3551	230.634	292.054
1414	23.4169	224.683	318.351
1424	28.0191	219.455	331.532
1434	30.2341	214.845	335.781
1442	30.6236	210.871	333.365
1452	29.6196	207.545	326.024
1457	27.3469	204.979	314.367
1458	24.7018	202.883	301.691
1461	22.7331	200.78	291.712
1466	20.7904	198.91	282.071
1475	18.8168	197.298	272.565
1484	17.0373	195.835	263.985
1493	14.8339	194.807	254.143
1502	13.1235	193.808	246.302
1509	10.0086	193.725	233.76
1512	8.14956	193.404	226.002
1514	6.68257	193.119	219.849
1518	5.23512	193.007	213.947
1527	4.30031	192.82	210.021
1536	3.85566	192.505	207.927
1545	2.93053	192.485	204.207
1553	2.91413	192.127	203.784
1562	2.73428	192.402	203.339
1565	2.73331	192.743	203.676
1567	3.47077	193.453	207.336
1570	3.29538	193.799	206.981
1574	3.28387	194.206	207.341
1583	3.72408	194.836	209.732
1593	3.11251	194.996	207.446
1602	2.68194	195.17	205.897
1611	2.9335	194.709	206.443
1619	3.39923	195.308	208.905
1622	3.84799	195.958	211.349
1623	3.69656	196.363	211.149
1626	3.73501	196.844	211.784
1631	3.40602	197.146	210.771
1640	3.39172	197.565	211.132
1650	2.66014	197.623	208.264
1658	2.48223	197.867	207.796
1667	2.98521	198.429	210.369
1676	3.16018	198.889	211.53
1678	4.14187	199.775	216.343
1680	4.63473	200.539	219.078
1683	4.80122	201.202	220.407
