segno	rttvar	srtt	rto
0	34.3595	68.7189	206.157
1	26.6776	68.265	174.975
3	20.1839	68.1771	148.913
5	16.3246	68.7704	134.069
7	12.9207	68.4318	120.115
9	10.9161	69.0446	112.709
11	10.4091	70.1556	111.792
14	11.493	71.9987	117.971
15	9.8491	71.384	110.78
17	8.24813	71.8147	104.807
21	8.22551	72.8344	105.736
23	10.9264	75.213	118.919
26	13.826	78.0286	133.333
30	16.0195	80.8536	144.932
31	12.4315	81.0621	130.788
33	11.0411	81.9208	126.085
35	11.1768	83.3688	128.076
37	12.7647	85.5598	136.619
41	14.4641	88.0051	145.862
45	16.4292	90.7957	156.512
47	21.5528	95.4111	181.622
51	26.0626	100.36	204.611
56	29.7436	105.458	224.433
61	33.5298	111.07	245.189
91	58.3966	127.694	361.28
95	73.3092	142.45	435.687
97	81.0726	155.495	479.786
104	83.6725	166.929	501.62
112	82.9846	177.044	508.983
115	77.4118	169.458	479.105
120	70.5536	163.21	445.425
123	71.2206	154.058	438.94
129	75.6867	142.922	445.669
134	75.8677	133.371	436.842
135	72.5655	125.538	415.8
142	68.309	118.596	391.832
145	63.2528	112.585	365.597
149	57.3849	107.613	337.152
150	52.5494	102.857	313.055
155	47.4506	98.8382	288.64
159	41.5696	95.8473	262.126
161	36.5643	93.1538	239.411
165	31.1561	91.2873	215.912
166	27.0767	89.4325	197.739
170	23.2972	87.9377	181.126
175	19.328	87.0102	164.322
177	16.3814	86.0674	151.593
181	13.9824	85.2192	141.149
182	11.7645	84.5804	131.638
183	9.44958	84.2673	122.066
187	8.01401	83.8039	115.86
191	6.65348	83.4824	110.096
195	5.09023	83.5325	103.893
199	3.96548	83.6064	99.4683
200	3.40866	83.8236	97.4583
201	2.84628	83.9685	95.3537
205	2.65961	84.231	94.8694
209	2.6073	84.5373	94.9665
213	3.18706	85.1531	97.9013
214	3.47437	85.6951	99.5926
218	3.35316	86.0688	99.4815
219	3.69136	86.6571	101.423
220	3.82742	87.1865	102.496
224	3.72495	87.6137	102.514
228	3.4732	87.9534	101.846
232	3.53985	88.4209	102.58
234	3.7352	88.9611	103.902
238	4.08171	89.6012	105.928
239	4.52599	90.3336	108.438
240	4.84098	91.0568	110.421
244	4.93677	91.7098	111.457
249	4.79774	92.2574	111.448
253	4.70844	92.8125	111.646
255	4.48353	93.2886	111.223
259	4.17496	93.6948	110.395
260	4.66793	94.4631	113.135
261	4.90708	95.1662	114.794
266	5.16722	95.9096	116.579
270	5.15918	96.5515	117.188
275	5.4187	97.3262	119.001
277	5.75429	98.1713	121.188
281	5.93336	98.9801	122.714
282	6.10931	99.8098	124.247
283	5.6474	100.342	122.932
287	5.601	101.025	123.429
292	4.98301	101.416	121.348
297	4.24855	101.672	118.666
300	4.18891	102.173	118.929
304	4.50419	102.854	120.871
305	5.01194	103.671	123.719
306	5.42396	104.504	126.2
311	5.4691	105.204	127.081
316	5.35699	105.832	127.26
321	4.9305	106.288	126.01
324	5.48374	107.181	129.116
328	5.07941	107.665	127.982
329	6.77467	109.147	136.246
331	6.55204	109.883	136.091
336	6.06495	110.458	134.718
341	5.49605	110.932	132.916
346	5.03832	111.39	131.543
349	4.60849	111.805	130.239
352	5.53438	112.844	134.981
354	4.73573	113.136	132.079
355	5.04832	113.885	134.078
360	5.25368	114.618	135.633
366	4.79935	115.048	134.245
372	4.95738	115.727	135.556
375	5.10496	116.42	136.84
379	5.14303	117.077	137.65
380	5.02157	117.66	137.746
381	5.20652	118.38	139.206
387	5.05657	118.956	139.182
392	4.90148	119.51	139.116
397	4.92028	120.132	139.813
401	4.97099	120.773	140.657
405	4.54548	121.181	139.363
407	5.25796	122.106	143.137
408	5.18079	122.724	143.447
414	5.51578	123.539	145.602
420	5.35398	124.148	145.564
425	5.05626	124.668	144.893
430	5.33561	125.44	146.782
434	5.34536	126.112	147.493
435	5.66887	126.942	149.617
437	5.69852	127.665	150.459
443	5.88623	128.471	152.016
449	5.75104	129.14	152.144
455	5.61221	129.789	152.238
460	5.47313	130.421	152.314
464	5.79068	131.264	154.427
466	6.0167	132.101	156.168
473	6.03878	132.864	157.019
479	5.64294	133.421	155.993
484	4.91339	133.761	153.415
489	5.10648	134.472	154.898
493	5.33817	135.226	156.579
494	5.57274	136.011	158.302
496	5.61021	136.726	159.167
503	5.41195	137.328	158.976
